ID,Weight,Gender
1,150,1
2,140,1
3,180,1
4,190,1
5,145,1
6,150,1
7,164,1
8,140,1
9,142,1
10,136,1
11,123,1
12,155,1
13,140,1
14,145,1
15,160,1
16,190,1
17,155,1
18,165,1
19,150,1
20,190,1
21,195,1
22,138,1
23,160,1
24,155,1
25,153,1
26,145,1
27,170,1
28,175,1
29,175,1
30,170,1
31,180,1
32,135,1
33,170,1
34,157,1
35,130,1
36,185,1
37,190,1
38,155,1
39,170,1
40,155,1
41,215,1
42,150,1
43,145,1
44,155,1
45,155,1
46,150,1
47,155,1
48,150,1
49,180,1
50,160,1
51,135,1
52,160,1
53,130,1
54,155,1
55,150,1
56,148,1
57,155,1
58,140,2
59,120,2
60,130,2
61,138,2
62,121,2
63,125,2
64,116,2
65,145,2
66,150,2
67,150,2
68,125,2
69,130,2
70,120,2
71,130,2
72,131,2
73,120,2
74,118,2
75,125,2
76,135,2
77,125,2
78,118,2
79,122,2
80,115,2
81,102,2
82,115,2
83,150,2
84,110,2
85,116,2
86,108,2
87,95,2
88,125,2
89,133,2
90,110,2
91,108,2
92,112,2
