ID,Gender,Age
1,1,30
2,1,29
3,1,64
4,1,51
5,1,89
6,1,65
7,1,90
8,1,39
9,1,44
10,1,22
11,1,69
12,1,55
13,1,65
14,1,25
15,1,49
16,1,23
17,1,49
18,1,24
19,1,22
20,1,79
21,1,30
22,1,27
23,1,35
24,1,33
25,1,63
26,1,26
27,1,88
28,1,36
29,1,55
30,1,45
31,1,32
32,1,90
33,1,37
34,1,71
35,1,61
36,1,69
37,1,25
38,1,46
39,1,34
40,1,75
41,1,63
42,1,47
43,1,27
44,1,90
45,1,79
46,1,51
47,1,50
48,1,62
49,1,65
50,1,48
51,2,18
52,2,39
53,2,67
54,2,55
55,2,56
56,2,62
57,2,27
58,2,51
59,2,70
60,2,37
61,2,51
62,2,34
63,2,53
64,2,60
65,2,58
66,2,41
67,2,66
68,2,26
69,2,68
70,2,58
71,2,49
72,2,19
73,2,41
74,2,40
75,2,57
76,2,58
77,2,54
78,2,43
79,2,27
80,2,23
